,R0
0,7.123805362676046
1,3.4908309979744643
2,11.080256741371896
3,3.7084556668202384
4,4.304310356708325
5,5.011922947117799
6,3.1234232606419328
7,5.253235824608972
8,4.268285586000223
9,8.533283401286832
10,6.615433758419814
11,8.646181412278196
12,5.434357731393734
13,4.430998546033943
14,9.12044343539115
15,8.233458022589296
16,7.287715191490135
17,3.3838854776638105
18,9.653850992992954
19,15.664571322622786
20,4.7188929689142265
21,5.0409160906113994
22,6.307561078360006
23,5.134884742214691
24,5.016882281567763
25,8.492653515667536
26,19.844117952921863
27,5.067167060255818
28,5.226699017967455
29,4.627275762408207
30,5.731405118618317
31,6.290830795604156
32,5.878382488710655
33,4.131125968476666
34,8.757364917073776
35,8.944899109018678
36,10.075414066753096
37,5.845835566658761
38,11.079156852191241
39,4.627063455142809
40,7.5288877809123225
41,4.586630354400597
42,9.331454238642346
43,10.911476360495847
44,7.518216797697517
45,8.64756564181375
46,6.46448799785998
47,6.772424023034199
